17.704.308;547.932;20.000;;;1.524
17.705.832;517.220;20.000;;;1.524
17.707.356;521.570;20.000;;;1.524
17.708.880;493.197;20.000;;;1.524
17.710.404;516.095;20.000;;;1.524
17.711.928;510.495;20.000;;;1.524
17.713.452;504.061;20.000;;;1.524
17.714.976;485.990;20.000;;;1.524
17.716.500;508.512;20.000;;;1.524
17.718.024;531.357;20.000;;;1.524
17.719.548;521.604;20.000;;;1.524
17.721.072;509.625;20.000;;;1.524
17.722.596;507.256;20.000;;;1.524
17.724.120;491.207;20.000;;;1.524
17.725.644;505.233;20.000;;;1.524
17.727.168;492.948;20.000;;;1.524
17.728.692;506.656;20.000;;;1.524
17.730.216;517.246;20.000;;;1.524
17.731.740;562.671;20.000;;;1.524
17.733.264;597.780;20.000;;;1.524
17.734.788;597.780;20.000;;;1.524
17.736.312;550.308;20.000;;;1.524
17.737.836;491.792;20.000;;;1.524
17.739.360;475.060;20.000;;;1.524
17.740.884;535.248;20.000;;;1.524
17.742.408;529.066;20.000;;;1.524
17.743.932;531.440;20.000;;;1.524
17.745.456;477.144;20.000;;;1.524
17.746.980;512.282;20.000;;;1.524
17.748.504;485.338;20.000;;;1.524
17.750.028;511.486;20.000;;;1.524
17.751.552;531.631;20.000;;;1.524
17.753.076;572.581;20.000;;;1.524
17.754.600;569.840;20.000;;;1.524
17.756.124;568.157;20.000;;;1.524
17.757.648;576.399;20.000;;;1.524
17.759.172;578.161;20.000;;;1.524
17.760.696;563.802;10.000;;;1.524
17.762.220;500.277;10.000;;;1.524
17.763.744;482.130;10.000;;;1.524
17.765.268;453.128;10.000;;;1.524
17.766.792;455.428;10.000;;;1.524
17.768.316;446.066;10.000;;;1.524
17.769.840;458.658;40.000;;;1.524
17.771.364;481.222;40.000;;;1.524
17.772.888;478.882;40.000;;;1.524
17.774.412;476.527;40.000;;;1.524
17.775.936;494.498;40.000;;;1.524
17.777.460;548.568;40.000;;;1.524
17.778.984;564.948;40.000;;;1.524
17.780.508;627.769;40.000;;;1.524
17.782.032;650.729;40.000;;;1.524
17.783.556;694.141;40.000;;;1.524
17.785.080;668.394;40.000;;;1.524
17.786.604;684.804;40.000;;;1.524
17.788.128;725.340;40.000;;;1.524
17.789.652;745.759;40.000;;;1.524
17.791.176;760.118;10.000;;;1.524
17.792.700;718.057;10.000;;;1.524
17.794.224;763.623;10.000;;;1.524
17.795.748;718.083;10.000;;;1.524
17.797.272;731.480;10.000;;;1.524
17.798.796;676.094;10.000;;;1.524
17.800.320;681.711;10.000;;;1.524
17.801.844;673.943;10.000;;;1.524
17.803.368;671.892;10.000;;;1.524
17.804.892;667.909;10.000;;;1.524
17.806.416;635.088;10.000;;;1.524
17.807.940;649.447;10.000;;;1.524
17.809.464;676.836;10.000;;;1.524
17.810.988;699.400;10.000;;;1.524
17.812.512;705.102;10.000;;;1.524
17.814.036;667.888;10.000;;;1.524
17.815.560;671.991;10.000;;;1.524
17.817.084;651.930;10.000;;;1.524
17.818.608;637.650;10.000;;;1.524
17.820.132;639.287;10.000;;;1.524
17.821.656;624.541;10.000;;;1.524
17.823.180;641.267;10.000;;;1.524
17.824.704;649.886;10.000;;;1.524
17.826.228;656.086;10.000;;;1.524
17.827.752;664.291;10.000;;;1.524
17.829.276;635.197;10.000;;;1.524
17.830.800;616.712;10.000;;;1.524
17.832.324;596.199;10.000;;;1.524
17.833.848;547.059;10.000;;;1.524
17.835.372;526.123;10.000;;;1.524
17.836.896;505.235;40.000;;;1.524
17.838.420;545.651;40.000;;;1.524
17.839.944;577.208;40.000;;;1.524
17.841.468;612.455;40.000;;;1.524
17.842.992;602.752;40.000;;;1.524
17.844.516;629.340;40.000;;;1.524
17.846.040;653.508;40.000;;;1.524
17.847.564;715.389;40.000;;;1.524
17.849.088;752.392;40.000;;;1.524
